Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2015-10-27,Shaun the Sheep Movie,2015,https://letterboxd.com/jacobworrel/film/shaun-the-sheep-movie/,3.5,,2015-10-25
2015-10-29,Everest,2015,https://letterboxd.com/jacobworrel/film/everest-2015/,3.5,,2015-10-27
2015-11-02,Scary Movie,2000,https://letterboxd.com/jacobworrel/film/scary-movie-2000/,3,,2015-10-31
2015-11-02,Show Me a Hero,2015,https://letterboxd.com/jacobworrel/film/show-me-a-hero/,4.5,,2015-11-01
2015-11-07,Quai des Orfèvres,1947,https://letterboxd.com/jacobworrel/film/quai-des-orfevres-1947/,3,,2015-11-06
2015-11-10,Crooklyn,1994,https://letterboxd.com/jacobworrel/film/crooklyn/,2.5,,2015-11-09
2015-11-10,A Little Princess,1995,https://letterboxd.com/jacobworrel/film/a-little-princess-1995/,3,,2015-11-09
2015-11-11,What We Do in the Shadows,2014,https://letterboxd.com/jacobworrel/film/what-we-do-in-the-shadows/,3.5,,2015-11-09
2015-11-17,Spectre,2015,https://letterboxd.com/jacobworrel/film/spectre-2015/,1,,2015-11-14
2015-11-20,Ant-Man,2015,https://letterboxd.com/jacobworrel/film/ant-man/,3,,2015-11-16
2015-11-20,Mistress America,2015,https://letterboxd.com/jacobworrel/film/mistress-america/,3.5,,2015-11-19
2015-11-22,Carol,2015,https://letterboxd.com/jacobworrel/film/carol-2015/,4,,2015-11-21
2015-11-30,Captain Phillips,2013,https://letterboxd.com/jacobworrel/film/captain-phillips/1/,4,,2015-11-27
2015-12-04,Slow West,2015,https://letterboxd.com/jacobworrel/film/slow-west/,2.5,,2015-12-02
2015-12-05,The Raid,2011,https://letterboxd.com/jacobworrel/film/the-raid-2011/,3.5,,2015-12-03
2015-12-05,Son of Saul,2015,https://letterboxd.com/jacobworrel/film/son-of-saul/,4.5,,2015-12-05
2015-12-08,Grandma's Boy,2006,https://letterboxd.com/jacobworrel/film/grandmas-boy-2006/,2.5,,2015-12-06
2015-12-12,The Man from U.N.C.L.E.,2015,https://letterboxd.com/jacobworrel/film/the-man-from-uncle/,3,,2015-12-11
2015-12-12,Tangerine,2015,https://letterboxd.com/jacobworrel/film/tangerine/,2.5,,2015-12-11
2015-12-14,James White,2015,https://letterboxd.com/jacobworrel/film/james-white/,2,,2015-12-13
2015-12-21,"3 ½ Minutes, 10 Bullets",2015,https://letterboxd.com/jacobworrel/film/3-minutes-10-bullets/,3,,2015-12-19
2015-12-21,Spotlight,2015,https://letterboxd.com/jacobworrel/film/spotlight/,3,,2015-12-20
2015-12-23,Room,2015,https://letterboxd.com/jacobworrel/film/room-2015/,3,,2015-12-21
2015-12-23,Straight Outta Compton,2015,https://letterboxd.com/jacobworrel/film/straight-outta-compton/,2.5,,2015-12-21
2015-12-25,Concussion,2015,https://letterboxd.com/jacobworrel/film/concussion-2015/,2,,2015-12-22
2015-12-25,Creed,2015,https://letterboxd.com/jacobworrel/film/creed/,3,,2015-12-24
2015-12-26,Sicario,2015,https://letterboxd.com/jacobworrel/film/sicario-2015/1/,4,,2015-12-25
