Date,Name,Year,Letterboxd URI,Rating
2013-06-09,The Bow,2005,https://letterboxd.com/film/the-bow/,3.5
2013-06-09,Paradise Now,2005,https://letterboxd.com/film/paradise-now/,3.5
2013-06-09,Keane,2004,https://letterboxd.com/film/keane/,4.5
2013-06-09,The Forest for the Trees,2003,https://letterboxd.com/film/the-forest-for-the-trees/,4
2013-06-09,Memories of Murder,2003,https://letterboxd.com/film/memories-of-murder/,4.5
2013-06-09,"Spring, Summer, Fall, Winter... and Spring",2003,https://letterboxd.com/film/spring-summer-fall-winter-and-spring/,4.5
2013-06-09,Zatoichi,2003,https://letterboxd.com/film/zatoichi/,4
2013-06-09,Dogville,2003,https://letterboxd.com/film/dogville/,4.5
2013-06-09,Time of the Wolf,2003,https://letterboxd.com/film/time-of-the-wolf-2003/,4.5
2013-06-09,Irreversible,2002,https://letterboxd.com/film/irreversible/,4
2013-06-09,Adaptation.,2002,https://letterboxd.com/film/adaptation/,4
2013-06-09,The Rules of Attraction,2002,https://letterboxd.com/film/the-rules-of-attraction/,4
2013-06-09,Punch-Drunk Love,2002,https://letterboxd.com/film/punch-drunk-love/,4
2013-06-09,Oasis,2002,https://letterboxd.com/film/oasis/,4.5
2013-06-09,Lilya 4-ever,2002,https://letterboxd.com/film/lilya-4-ever/,4.5
2013-06-09,The Son,2002,https://letterboxd.com/film/the-son/,4
2013-06-09,On the Occasion of Remembering the Turning Gate,2002,https://letterboxd.com/film/on-the-occasion-of-remembering-the-turning-gate/,3.5
2013-06-09,Fat Girl,2001,https://letterboxd.com/film/fat-girl/,4.5
2013-06-09,Time Out,2001,https://letterboxd.com/film/time-out/,4.5
2013-06-09,Mulholland Drive,2001,https://letterboxd.com/film/mulholland-drive/,4
2013-06-09,The Piano Teacher,2001,https://letterboxd.com/film/the-piano-teacher/,4
2013-06-09,The Power of Kangwon Province,1998,https://letterboxd.com/film/the-power-of-kangwon-province/,4.5
2013-06-09,Chopper,2000,https://letterboxd.com/film/chopper/,4.5
2013-06-09,Toy Story 2,1999,https://letterboxd.com/film/toy-story-2/,4
2013-06-09,Ratcatcher,1999,https://letterboxd.com/film/ratcatcher/,4
2013-06-09,Peppermint Candy,1999,https://letterboxd.com/film/peppermint-candy/,4
2013-06-09,The Straight Story,1999,https://letterboxd.com/film/the-straight-story/,3.5
2013-06-09,Being John Malkovich,1999,https://letterboxd.com/film/being-john-malkovich/,3.5
2013-06-09,Three Kings,1999,https://letterboxd.com/film/three-kings/,3.5
2013-06-09,Run Lola Run,1998,https://letterboxd.com/film/run-lola-run/,3.5
2013-06-09,Models,1999,https://letterboxd.com/film/models/,4
2013-06-09,Eyes Wide Shut,1999,https://letterboxd.com/film/eyes-wide-shut/,4.5
2013-06-09,Humanité,1999,https://letterboxd.com/film/humanite/,4
2013-06-09,"South Park: Bigger, Longer & Uncut",1999,https://letterboxd.com/film/south-park-bigger-longer-uncut/,4.5
2013-06-09,The Thin Red Line,1998,https://letterboxd.com/film/the-thin-red-line/,4
2013-06-09,Show Me Love,1998,https://letterboxd.com/film/show-me-love/,4.5
